id;cod_entrada;cod_saida;cliente;descricao;Beneficiamento;Setor;und;Peso;Valor_Unit;
10;51883168;AE40018009;* AETHRA SISTEMAS AUTOMOTIVOS S.A.;REFORCO FREIO DE MAO COMPLETO;ZN INCOLOR TRIVALENTE - EA1;ESTACIONARIO I;PC;0,804;2,71;
11;5U7803945CS;5U7803945;* AETHRA SISTEMAS AUTOMOTIVOS S.A.;CONJUNTO REFORCO DO GANCHO ESQ.;ZN INCOLOR TRIVALENTE - EA1;ESTACIONARIO I;PC;0,453;1,92;
12;AE40018023;520873310;* AETHRA SISTEMAS AUTOMOTIVOS S.A.;REFORCO FREIO DE MAO COMPLETO S/REV;ZN INCOLOR TRIVALENTE - EA1;ESTACIONARIO I;PC;0,708;2,71;
13;5U7803946CS;5U7803946;* AETHRA SISTEMAS AUTOMOTIVOS S.A.;CONJUNTO REFORCO DO GANCHO DIR.;ZN INCOLOR TRIVALENTE - EA1;ESTACIONARIO I;PC;0,447;1,92;
14;5U7803703;5U7803703Z;* AETHRA SISTEMAS AUTOMOTIVOS S.A.;SUPORTE DO MECANISMO;ZN INCOLOR TRIVALENTE - EA1;ESTACIONARIO I;PC;0,305;0,98;
16;51807894;518078940;** AETHRA SISTEMAS AUTOMOTIVOS S.A.;REFORCO SUPORTE TAMPAO;ZN INCOLOR TRIVALENTE - EA1;ESTACIONARIO I;PC;0,896;2,48;
17;AE020120024E;AE020120024;** AETHRA SISTEMAS AUTOMOTIVOS S.A.;REFORCO TD ESTAMPADO;ZN INCOLOR TRIVALENTE - EA1;ESTACIONARIO I;PC;0,043;0,37;
18;77391690;465295260;** AETHRA SISTEMAS AUTOMOTIVOS S.A.;SUPORTE FIX. TUBOS;ZN INCOLOR TRIVALENTE - EA1;ESTACIONARIO I;PC;0,149;0,47;
19;46480294E;46480294;** AETHRA SISTEMAS AUTOMOTIVOS S.A.;STAFFA RINF BOCCHETONE PK-UP EST;ZN IRIDESCENTE TRIVALENTE - EA1;ESTACIONARIO I;PC;0,177;0,47;
20;51895873;AE40018008;** AETHRA SISTEMAS AUTOMOTIVOS S.A.;STAFFA RITEGNO FLESS COMANDO FRENI CPL;ZN INCOLOR TRIVALENTE - EA1;ESTACIONARIO I;PC;0,072;0,47;
